id,first_name,last_name,email,phone,created_at,orders_count,total_spent,state,verified_email,tags
5603288350885,N/A,N/A,N/A,N/A,2021-09-23T08:12:51-07:00,3,61.05,enabled,True,
5644741345445,N/A,N/A,N/A,N/A,2021-10-04T13:22:37-07:00,0,0.00,disabled,True,
5645376159909,N/A,N/A,N/A,N/A,2021-10-04T17:26:23-07:00,5,20.25,enabled,True,Inbox online store chat
5707058512037,N/A,N/A,N/A,N/A,2021-10-13T11:15:47-07:00,23,823.14,enabled,True,"Inactive Subscriber, Inbox online store chat, newsletter"
5707914936485,N/A,N/A,N/A,N/A,2021-10-13T13:22:03-07:00,1,85.00,enabled,True,Inbox online store chat
5714104025253,N/A,N/A,N/A,N/A,2021-10-14T06:54:03-07:00,30,1752.00,enabled,True,"Inactive Subscriber, Inbox online store chat, []"
5714689949861,N/A,N/A,N/A,N/A,2021-10-14T09:25:16-07:00,2,32.00,enabled,True,Inbox online store chat
5721949470885,N/A,N/A,N/A,N/A,2021-10-15T11:37:32-07:00,24,884.98,enabled,True,"Active Subscriber, []"
5723106640037,N/A,N/A,N/A,N/A,2021-10-15T15:02:35-07:00,0,0.00,enabled,False,
5736496234661,N/A,N/A,N/A,N/A,2021-10-16T16:05:23-07:00,0,0.00,enabled,True,Inbox online store chat
5745829806245,N/A,N/A,N/A,N/A,2021-10-17T12:00:14-07:00,0,0.00,enabled,False,
5749040709797,N/A,N/A,N/A,N/A,2021-10-17T18:16:45-07:00,0,0.00,enabled,False,
5758320279717,N/A,N/A,N/A,N/A,2021-10-18T17:00:23-07:00,0,0.00,disabled,True,Inbox online store chat
5767412482213,N/A,N/A,N/A,N/A,2021-10-20T09:36:48-07:00,0,0.00,enabled,False,
5768247312549,N/A,N/A,N/A,N/A,2021-10-20T18:06:49-07:00,0,0.00,enabled,True,Inbox online store chat
5769163636901,N/A,N/A,N/A,N/A,2021-10-21T09:49:25-07:00,0,0.00,disabled,True,Inbox online store chat
5769225470117,N/A,N/A,N/A,N/A,2021-10-21T10:28:57-07:00,0,0.00,disabled,True,Inbox online store chat
